head_x,head_y,head_z,JAB,JAC,ABC,BCE,JAD,KDE,NIH,MGF,HIC,FGC,label
100.94 ,-39.79 ,627.55 ,49.95 ,50.05 ,179.21 ,51.20 ,51.20 ,55.97 ,123.58 ,53.03 ,80.77 ,89.48 ,forward
110.68 ,-31.09 ,598.75 ,50.81 ,50.79 ,179.88 ,51.43 ,51.43 ,59.33 ,120.76 ,56.75 ,80.90 ,95.17 ,forward
135.27 ,-29.73 ,606.93 ,50.16 ,50.13 ,179.81 ,50.86 ,50.86 ,58.68 ,115.73 ,57.73 ,84.70 ,93.80 ,forward
134.77 ,-27.97 ,609.16 ,50.80 ,50.79 ,179.94 ,51.31 ,51.31 ,59.09 ,121.05 ,53.33 ,89.99 ,92.17 ,forward
132.23 ,-27.91 ,610.22 ,51.38 ,51.39 ,179.94 ,51.97 ,51.97 ,58.50 ,127.65 ,52.40 ,87.86 ,87.25 ,forward
131.72 ,-25.99 ,612.31 ,51.47 ,51.43 ,179.67 ,51.92 ,51.92 ,57.02 ,118.87 ,52.31 ,80.66 ,88.83 ,forward
133.10 ,-25.76 ,616.14 ,50.81 ,50.68 ,179.12 ,50.43 ,50.43 ,61.65 ,115.98 ,55.96 ,85.38 ,94.28 ,forward
133.01 ,-24.84 ,617.11 ,50.54 ,50.42 ,179.21 ,50.23 ,50.23 ,59.38 ,115.86 ,55.45 ,87.62 ,93.86 ,forward
117.23 ,-17.37 ,634.76 ,49.48 ,49.47 ,179.92 ,49.84 ,49.84 ,59.69 ,117.98 ,58.02 ,89.75 ,91.38 ,forward
117.02 ,-11.28 ,646.10 ,48.20 ,48.45 ,178.53 ,48.76 ,48.76 ,60.46 ,116.44 ,53.16 ,82.94 ,88.89 ,forward
101.16 ,-39.22 ,658.65 ,48.99 ,48.93 ,179.52 ,49.95 ,49.95 ,56.25 ,116.47 ,56.65 ,84.57 ,94.27 ,forward
110.99 ,-33.68 ,637.77 ,49.71 ,49.57 ,178.60 ,50.39 ,50.39 ,55.79 ,115.71 ,53.39 ,80.00 ,88.21 ,forward
